task_id,subtask_id,declared_app_count,input_types,output_types,inferred_apps,inferred_operations,evaluator_types,inferred_chain,conservative_coverage,coverage_gaps,task_file_sha256
1-1,0,1,,.ics,calendar,calendar.create_event,evaluate_contain,no_file_input -> calendar,unsupported,operation:calendar.create_event|write:.ics,1b8599d232e5a393556b8c47067783a73302bb8b9042426890adc0e5df04cadf
1-1,1,1,,.ics,calendar,calendar.create_event,evaluate_contain,no_file_input -> calendar,unsupported,operation:calendar.create_event|write:.ics,4761f8488615a43e4073d0948a377b298fdd149aa93c4116b322c2db0542f0f2
1-1,2,1,,.ics,calendar,calendar.create_event,evaluate_contain,no_file_input -> calendar,unsupported,operation:calendar.create_event|write:.ics,05ad79137cc457c0eef064729306115c5004c447c37b37ae395aba1784e5fdaa
1-1,3,1,,.ics,calendar,calendar.create_event,evaluate_contain,no_file_input -> calendar,unsupported,operation:calendar.create_event|write:.ics,e8604512732952abf4e60304f84157c1a68ceed43ba24551ab49b5a827538d99
1-1,4,1,,.ics,calendar,calendar.create_event,evaluate_contain,no_file_input -> calendar,unsupported,operation:calendar.create_event|write:.ics,0e0fad75321bdf6883c3d93fba7b98fbcf969e8c18aa45f5f75a678089f98b3d
1-10,0,1,.xlsx,.txt,excel,excel.read_file|shell.command,evaluate_contain,excel -> text,unsupported,operation:excel.read_file|read:.xlsx|write:.txt,6b423aa4e13fb10a51510942ce5e99ff8eb2388964c75a587534321c8b3b463c
1-10,1,1,.xlsx,.txt,excel,excel.read_file|shell.command,evaluate_contain,excel -> text,unsupported,operation:excel.read_file|read:.xlsx|write:.txt,ed7a7dce2482586bf15c8290cc0020dbe1eab8551d5bf7f066e02093fc4a86de
1-10,2,1,.xlsx,.xlsx,excel|shell,excel.create_or_update_file|excel.read_file,evaluate_excel_cell_value,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,1ab5abe3e8aaa1050f49ae06d444cf05745c11109d24a8603631df50925f6691
1-10,3,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_excel_cell_value,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,ef12c31878ec0c030cd3bd5c31eee23c5c49de1d52622ee36b3db3105aa700ba
1-10,4,1,.xlsx,.txt,excel,excel.read_file|shell.command,evaluate_contain,excel -> text,unsupported,operation:excel.read_file|read:.xlsx|write:.txt,5e3c731a704669b28573823c9d06dbbceefdc0b30164251dff7ac519946f1a54
1-11,0,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_exact_match,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,5295a70cc5f3fc0d4c3880f4156eec0e29025ec7a404f40509cb0a21746fcac1
1-11,1,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_exact_match|evaluate_exact_match,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,dccdcb1283d83870347eedbc6cb3c4244f5ba3120e272faa1820814eb4a42c32
1-11,2,1,.xlsx,.txt,excel,excel.read_file|shell.command,evaluate_contain,excel -> text,unsupported,operation:excel.read_file|read:.xlsx|write:.txt,9820ea3b6423318efc6b240bc55ea846e1c2052b116d6a62fab8af682f60de01
1-11,3,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_exact_match,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,89df03594deb7f3d6712198a8c957f117b782a4ea50ebf8cc708e75da01199d3
1-12,0,1,.xlsx,.txt,excel,excel.read_file|shell.command,evaluate_contain,excel -> text,unsupported,operation:excel.read_file|read:.xlsx|write:.txt,d52991ace52e4fe24c8aeff989488d30c79cd10f1b55d555a8be71b454f29cef
1-12,1,1,.xlsx,.txt,excel,excel.read_file|shell.command,evaluate_contain,excel -> text,unsupported,operation:excel.read_file|read:.xlsx|write:.txt,b02916607225848ba600f562544254a3e7dcb374eed01b5e064921f3eff6c530
1-12,2,1,.xlsx,.txt,excel,excel.read_file|shell.command,evaluate_contain,excel -> text,unsupported,operation:excel.read_file|read:.xlsx|write:.txt,73eac387fdf9f29662b6ffae210c27d56e5c40dcf0ed9eb7ceacde7e780a2aac
1-13,0,1,.xlsx,.txt,excel,excel.read_file|shell.command,evaluate_contain,excel -> text,unsupported,operation:excel.read_file|read:.xlsx|write:.txt,1f07617cb844619d40a52c3790220bca17a6663ff4a1cf2d6012bb2be4b4afdd
1-13,1,1,.xlsx,.txt,excel,excel.read_file|shell.command,evaluate_contain,excel -> text,unsupported,operation:excel.read_file|read:.xlsx|write:.txt,aec443bb911029ef7a33f9a56d22dfc071d0103fbf26f1b2b4006f92733b5ae4
1-13,2,1,.xlsx,.txt,excel,excel.read_file|shell.command,evaluate_contain,excel -> text,unsupported,operation:excel.read_file|read:.xlsx|write:.txt,5dd7fb0a08ed5b99a3b427feed757d77fee579bb50db78fae239bfa6583e4004
